code,name,industry,area,pe,cur_bi,cur_profit
600067,冠城大通,全国地产,福建,19.32,75.16,1066.67
002837,英维克,专用机械,深圳,29.3,48.86,141.18
300313,天山生物,农业综合,新疆,95.17,349.15,1600.0
603918,金桥信息,软件服务,上海,88.55,56.0,180.0
300515,三德科技,电器仪表,湖南,53.22,61.54,100.0
603007,花王股份,建筑施工,江苏,19.98,113.38,242.86
600466,蓝光发展,区域地产,四川,10.35,40.88,126.42
600053,九鼎投资,多元金融,江西,25.54,69.84,1340.0
300148,天舟文化,出版业,湖南,11.69,82.47,58.62
002738,中矿资源,建筑施工,北京,83.03,58.65,250.0
603660,苏州科达,通信设备,江苏,29.95,37.28,88.46
000603,盛达矿业,铅锌,北京,20.64,106.34,77.92
300164,通源石油,石油开采,陕西,29.22,124.31,428.57
300693,盛弘股份,电气设备,深圳,36.23,45.45,137.5
300084,海默科技,石油开采,甘肃,0.0,55.17,inf
000517,荣安地产,区域地产,浙江,19.88,452.88,2230.0
300490,华自科技,电气设备,湖南,45.85,130.36,200.0
300045,华力创通,电脑设备,北京,297.42,91.75,425.0
000036,华联控股,全国地产,深圳,6.47,619.89,1134.48
600420,现代制药,化学制药,上海,12.07,31.14,87.64
300467,迅游科技,互联网,四川,23.23,224.07,240.0
000620,新华联,全国地产,北京,35.42,115.77,201.72
300107,建新股份,化工原料,河北,12.31,215.27,1300.0
603988,中电电机,电气设备,江苏,42.46,65.75,100.0
300456,耐威科技,元器件,北京,52.12,60.58,1150.0
600727,鲁北化工,农药化肥,山东,18.79,46.34,78.95
600599,熊猫金控,多元金融,湖南,237.06,60.98,866.67
002028,思源电气,电气设备,上海,29.08,36.03,169.23
300545,联得装备,专用机械,深圳,31.17,39.58,106.25
000058,深 赛 格,元器件,深圳,25.37,112.08,110.53
000892,欢瑞世纪,影视音像,重庆,34.75,52.81,547.37
300409,道氏技术,陶瓷,广东,17.44,38.31,67.44
600622,光大嘉宝,区域地产,上海,9.04,180.21,79.69
603305,旭升股份,汽车配件,浙江,29.39,77.54,90.2
600371,万向德农,种植业,黑龙江,0.0,31.71,442.86
601588,北辰实业,区域地产,北京,7.1,135.61,158.02
